board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,Dull Scissors,2022-05-05 16:55:26,6a,6a+,17.0,1,False,1,1,False,True,
tension,35,FIYAH!,2022-05-05 17:00:01,6b,6b,18.0,2,False,1,2,False,True,
tension,35,thicc nic with two c’s,2022-05-05 17:04:14,6a+,6a+,16.6,1,False,1,1,False,True,
tension,35,Carnation,2022-05-05 17:27:30,6b,6b,18.0,2,False,1,2,False,True,
tension,35,Yard Boss,2022-05-09 19:17:26,5a,5a,12.9198,1,False,1,1,False,True,
tension,35,Yard Boss,2022-05-09 19:18:51,5a,5a,12.9198,1,True,1,1,False,True,
tension,35,the speedy sloth,2022-05-09 19:28:52,6a,6a,15.9395,1,False,1,1,False,True,
tension,35,No Brunch for this Bunch,2022-05-09 19:34:39,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Wild Thing,2022-05-09 19:40:33,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Just for Funsies,2022-05-09 19:53:01,5b,5a,13.2796,1,False,1,1,False,True,
tension,35,Switching Places,2022-05-09 19:55:15,5c,5c,15.0,1,False,2,2,True,True,
tension,35,And I’m dying,2022-05-09 20:01:05,6b,6b+,18.7054,1,False,1,1,False,True,
tension,35,Neato Burrito,2022-05-09 20:03:19,6b+,6b+,18.8222,1,False,1,1,False,True,
tension,35,Truth or Dare,2022-05-24 19:09:11,5a,5a,12.9309,1,False,1,1,False,True,
tension,35,v0 for real,2022-05-24 19:14:10,4a,4a,10.0855,1,False,1,1,False,True,
tension,35,the scarecrow,2022-05-24 19:17:14,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Sidewalk Chalk,2022-05-24 19:20:23,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Hot Dogs,2022-05-24 19:21:53,5c,5b,13.8053,1,False,1,1,False,True,
tension,35,Anxious Pup,2022-05-24 19:24:37,5a,5c,15.0,1,False,1,1,False,True,
tension,35,KBL #1,2022-05-24 19:30:15,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Haus up,2022-05-24 19:39:44,6a,6a,16.3895,2,False,1,2,False,True,
tension,35,35 degrees w/ Bryan,2022-05-24 19:52:25,6a,6b,18.0,1,False,1,1,False,True,
tension,35,fight the middle,2022-05-24 20:28:54,6b+,6b+,18.785,1,False,1,1,False,True,
tension,35,Z E L D A W A V E,2022-05-24 20:29:02,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Dos e Dos,2022-05-24 20:29:08,6b,6b,17.866,1,False,1,1,False,True,
tension,35,Wild Thing,2022-05-24 20:29:23,6b,6b,18.0,1,False,2,2,True,True,
tension,35,Protector of the Skinny Dog,2022-05-24 20:29:29,6c,6c,19.9647,1,False,1,1,False,True,
tension,35,Dos e Dos,2022-05-25 11:27:39,6b,6b,17.866,1,False,2,2,True,True,
tension,35,Closing Time,2022-05-25 11:28:00,5c,5c,15.0,1,False,2,2,True,True,
tension,35,Sea Freight,2022-05-25 11:28:14,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Mt. Vesuvius / Short,2022-05-25 11:28:39,6c+,6c+,21.1769,2,False,1,2,False,True,
tension,35,The Dread Pirate Roberts,2022-05-25 11:28:56,6b+,6b+,18.6207,1,False,1,1,False,True,
tension,35,That's The Ticket,2022-06-01 20:17:47,5b,5b,14.325,2,False,2,3,True,True,
tension,35,Switching Places,2022-06-01 20:20:34,5c,5c,15.0,1,False,3,3,True,True,
tension,35,preggerz,2022-06-01 20:23:51,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Weast,2022-06-01 20:27:05,6a+,6a+,17.0,1,False,2,2,True,True,
tension,35,fight the middle,2022-06-01 20:34:41,6b+,6b+,18.785,1,False,2,2,True,True,
tension,35,Big Pinch Pinchin',2022-06-01 20:58:16,6b+,6b+,19.2802,3,False,1,3,False,True,
tension,35,Getting By,2022-06-01 21:09:56,6b,6b,18.0,1,False,1,1,False,True,
tension,35,shwarm up,2022-06-08 19:34:19,5c,5c,14.9171,1,True,1,1,False,True,
tension,35,1 Legged Creature,2022-06-08 19:36:14,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Mama Says,2022-06-08 19:38:08,5c,5c,15.0,1,False,1,1,False,True,
tension,35,"Sincerely, Governor",2022-06-08 19:42:47,6a+,6a+,17.0,1,False,1,1,False,True,
tension,35,bigfun - short board edit,2022-06-08 19:46:12,6a,6a,16.0426,1,False,1,1,False,True,
tension,35,Lose Myself,2022-06-08 20:01:14,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Easter Eggs,2022-06-08 20:05:45,6b,6b,18.0,1,False,1,1,False,True,
tension,35,Oh pinch me daddy,2022-06-08 20:24:05,6a+,6a,16.1818,1,False,1,1,False,True,
tension,35,Send Your Face,2022-06-08 20:27:31,5c,5c,15.087,1,False,1,1,False,True,
